user,rate_blink_left,rate_blink_right,rate_smile_or_not,blink_left,blink_right,smile_or_not
3,0.57,0.93,0,0,0,0
1,0.99,0.99,0.11,0,0,0
2,0.99,0.7,0.08,0,0,0
3,0.99,0.99,0.15,0,0,0
2,0.56,0.36,0.99,0,1,1
1,0.99,0.73,0.06,0,0,0
1,0.99,0.99,0.11,0,0,0
3,0.61,0.93,0.01,0,0,0
2,0.29,0.36,0.09,1,1,0
2,0.99,0.99,0.1,0,0,0
1,0.99,0.99,0.01,0,0,0
2,0.67,0.78,0.01,0,0,0
3,0.43,0.73,0.07,1,0,0
2,0.68,0.34,0.26,0,1,0
2,0.99,0.21,0.17,0,1,0
2,0.72,0.66,0.97,0,0,1
1,0.99,0.99,0.04,0,0,0
2,0.55,0,0.2,0,0,0
3,0.78,0.97,0.15,0,0,0
3,0.46,0.98,0.2,1,0,0
1,0.99,0.97,0.34,0,0,0
3,0.57,0.77,0.84,0,0,1
3,0.85,0.99,0.01,0,0,0
3,0.82,0.72,0,0,0,0
1,0.99,0.99,0.04,0,0,0
1,0.99,0.99,0.1,0,0,0
2,0.41,0.27,0,1,1,0
3,0.66,0.71,0.07,0,0,0
3,0.57,0.69,0.01,0,0,0
1,0.99,0.99,0.01,0,0,0
1,1,0.99,0.15,0,0,0
1,0.99,0.99,0.24,0,0,0
3,0.85,0.86,0.01,0,0,0
3,0.52,0.87,0.08,0,0,0
3,0.59,0.99,0.02,0,0,0
3,0,0.6,0.13,0,0,0
2,0.83,0.68,0,0,0,0
3,0.81,0.99,0.01,0,0,0
3,0.73,0.98,0.02,0,0,0
2,0.68,0.6,0.43,0,0,1
3,0.55,0.9,0.13,0,0,0
1,0.95,0.95,0.21,0,0,0
2,0.51,0.1,0.96,0,1,1
3,0.8,0.99,0.01,0,0,0
3,0.69,0.67,0,0,0,0
2,0.44,0.81,0.01,1,0,0
3,0.75,0.92,0.04,0,0,0
2,0.99,0.39,0.03,0,1,0
2,0.93,0.32,0.16,0,1,0
2,0.57,0.24,0.98,0,1,1
2,0.99,0.39,0.12,0,1,0
1,0.99,0.85,0.18,0,0,0
1,0.56,0.41,0.18,0,1,0
1,0.95,0.95,0.21,0,0,0
2,0.88,0.81,0.02,0,0,0
3,0.64,0.94,0.01,0,0,0
3,0.48,0.78,0.12,1,0,0
2,0.86,0.86,0.01,0,0,0
3,0.89,0.84,0.06,0,0,0
3,0.55,0.94,0.01,0,0,0
2,0.72,0.95,0,0,0,0
2,0.37,0.32,0,1,1,0
2,0.66,0.47,0.07,0,1,0
2,0.48,0.08,0.01,1,1,0
2,0.88,0.89,0.15,0,0,0
3,0.61,0.86,0.08,0,0,0
3,0.74,0.99,0.02,0,0,0
3,0.57,0.62,0.95,0,0,1
2,0.58,0.39,0.8,0,1,1
3,0,0.85,0.03,0,0,0
1,1,0.99,0.15,0,0,0
1,1,0.99,0.17,0,0,0
2,0.88,0.81,0.02,0,0,0
2,0.77,0.91,0.18,0,0,0
3,0.99,0.99,0.01,0,0,0
3,0.71,0.99,0.82,0,0,1
3,0.81,0.94,0.01,0,0,0
3,0.99,0.99,0.05,0,0,0
3,0.44,0.92,0.01,1,0,0
2,0.18,0.1,0.01,1,1,0
3,0.52,0.76,0.28,0,0,0
2,0.72,0.95,0,0,0,0
1,0.99,0.99,0.07,0,0,0
2,0.69,0.97,0,0,0,0
3,0.29,0.76,0.15,1,0,0
2,0.59,0.76,0.16,0,0,0
2,0.88,0.7,0,0,0,0
3,0.67,0.91,0.01,0,0,0
3,0.42,0.96,0.3,1,0,0
3,0.99,0.99,0.08,0,0,0
3,0.56,0.87,0.01,0,0,0
3,0.59,0.99,0.01,0,0,0
3,0.32,0.62,0.96,1,0,1
3,0.74,0.8,0,0,0,0
3,0.78,0.99,0.06,0,0,0
1,1,1,0.01,0,0,0
2,0.48,0.31,0.38,1,1,0
2,0.77,0.63,0.1,0,0,0
3,0.62,0.78,0.18,0,0,0
2,0.77,0.84,0.01,0,0,0
3,0.57,0.69,0.01,0,0,0
3,0.42,0.86,0.02,1,0,0
3,0.72,0.99,0.01,0,0,0
3,0.99,0.99,0.01,0,0,0
2,0.61,0.02,0,0,1,0
2,0.87,0.76,0.96,0,0,1
1,0.99,0.99,0.01,0,0,0
2,0.53,0.58,0.38,0,0,0
3,0.8,0.99,0.01,0,0,0
3,0.53,0.93,0.01,0,0,0
2,0.74,0.63,0.07,0,0,0
2,0.56,0.62,0.22,0,0,0
2,0.45,0.15,0.24,1,1,0
3,0.64,0.89,0.01,0,0,0
3,0.85,0.99,0.02,0,0,0
1,0.99,0.99,0.01,0,0,0
3,0.75,0.81,0.28,0,0,0
3,0.33,0.35,0.37,1,1,0
2,0.81,0.77,0.01,0,0,0
3,0.99,0.99,0.06,0,0,0
2,0.55,0,0.2,0,0,0
3,0.42,0.87,0.03,1,0,0
3,0.93,0.87,0,0,0,0
3,0.65,0.93,0.01,0,0,0
2,0.85,0.44,0.69,0,1,1
2,0.56,0.53,0,0,0,0
3,0.79,0.99,0.03,0,0,0
3,0.71,0.99,0.02,0,0,0
2,0.54,0.59,0.15,0,0,0
2,0.77,0.81,0.01,0,0,0
1,0.99,0.98,0.19,0,0,0
2,0.3,0.39,0.03,1,1,0
3,0,0.56,0,0,0,0
1,0.94,0.99,0.02,0,0,0
2,0.64,0.33,0.1,0,1,0
3,0.6,0.82,0.03,0,0,0
2,0.75,0.99,0.05,0,0,0
3,0.65,0.83,0.03,0,0,0
3,0.53,0.99,0.04,0,0,0
2,0.75,0.9,0,0,0,0
2,0.99,0.5,0.15,0,0,0
3,0.5,0.99,0.11,0,0,0
3,0.58,0.99,0.95,0,0,1
2,0.12,0,0.16,1,0,0
3,0.87,0.88,0.04,0,0,0
3,0.99,0.99,0.03,0,0,0
1,1,1,0.01,0,0,0
3,0.5,0.76,0.12,0,0,0
3,0.7,0.8,0.28,0,0,0
3,0.5,0.66,0.19,0,0,0
2,0.82,0.8,0.02,0,0,0
3,0.54,0.99,0.01,0,0,0
2,0.77,0.81,0.01,0,0,0
1,0.99,0.84,0.83,0,0,1
1,0.99,0.99,0.06,0,0,0
2,0.71,0.48,0.01,0,1,0
3,0.43,0.99,0.01,1,0,0
1,1,0.99,0.03,0,0,0
3,0.61,0.93,0.01,0,0,0
3,0.4,0.99,0.38,1,0,0
3,0.57,0.78,0.5,0,0,1
2,0.97,0.91,0.16,0,0,0
3,0.77,0.99,0.01,0,0,0
1,1,0.99,0.01,0,0,0
3,0.44,0.99,0.02,1,0,0
2,0.94,0.99,0.02,0,0,0
2,0.59,0.77,0.03,0,0,0
3,0.99,0.99,0.28,0,0,0
2,0.77,0.6,0.96,0,0,1
3,0.44,0.9,0.02,1,0,0
3,0.64,0.93,0.03,0,0,0
2,0.62,0.32,0,0,1,0
2,0.86,0.9,0,0,0,0
3,0.55,0.84,0.01,0,0,0
3,0.71,0.98,0.04,0,0,0
3,0.75,0.83,0.01,0,0,0
3,0.59,0.94,0.01,0,0,0
2,0.93,0.77,0.58,0,0,1
1,0.92,0.6,0.05,0,0,0
2,0.96,0.81,0.05,0,0,0
3,0.83,0.99,0.07,0,0,0
2,0.76,0.79,0.01,0,0,0
2,0.99,0.24,0,0,1,0
2,0.71,0,0.26,0,0,0
2,0.76,0.64,0.08,0,0,0
1,1,0.99,0.01,0,0,0
1,0.99,0.99,0.05,0,0,0
2,0.83,0.54,0.08,0,0,0
2,0.99,0.21,0.17,0,1,0
3,0.64,0.66,0.02,0,0,0
2,0.86,0.91,0.06,0,0,0
2,0.8,0.64,0.49,0,0,1
2,0.61,0,0.15,0,0,0
3,0.66,0.92,0.22,0,0,0
1,1,0.99,0.08,0,0,0
2,0.85,0.78,0.43,0,0,1
3,0.3,0.99,0.01,1,0,0
1,0.99,0.99,0.02,0,0,0
2,0.99,0.33,0.1,0,1,0
1,0.99,0.99,0.28,0,0,0
3,0.77,0.99,0.01,0,0,0
1,0.99,0.99,0.15,0,0,0
3,0.59,0.72,0.01,0,0,0
1,1,0.99,0.42,0,0,1
1,0.99,0.99,0.4,0,0,0
2,0.87,0.47,0,0,1,0
3,0.99,0.99,0.05,0,0,0
3,0.47,0.99,0.06,1,0,0
1,0.99,0.99,0.01,0,0,0
3,0.68,0.99,0.01,0,0,0
3,0.7,0.95,0.01,0,0,0
1,0.99,0.85,0.18,0,0,0
1,0.99,0.97,0.04,0,0,0
2,0.86,0.79,0.01,0,0,0
3,0.63,0.87,0.51,0,0,1
2,0.52,0.28,0.95,0,1,1
2,0.72,0.66,0.97,0,0,1
2,0.66,0.92,0.2,0,0,0
3,0.87,0.94,0.08,0,0,0
3,0.71,0.99,0.07,0,0,0
3,0.82,0.99,0.06,0,0,0
1,0.99,0.89,0.01,0,0,0
1,1,0.99,0.26,0,0,0
3,0.47,0.86,0.01,1,0,0
2,0.5,0.42,0.01,0,1,0
1,1,0.99,0.01,0,0,0
2,0.99,0.35,0,0,1,0
2,0.72,0.63,0,0,0,0
3,0.66,0.82,0.01,0,0,0
3,0.45,0.71,0.26,1,0,0
2,0.99,0.27,0.13,0,1,0
3,0.84,0.94,0.02,0,0,0
3,0.58,0.99,0.24,0,0,0
3,0.44,0.94,0.01,1,0,0
3,0.98,0.93,0.03,0,0,0
3,0.75,0.99,0.06,0,0,0
2,0.59,0.77,0.03,0,0,0
1,0.83,0.92,0.01,0,0,0
2,0.99,0.85,0.07,0,0,0
2,0.64,0.33,0.1,0,1,0
2,0.81,0.71,0.66,0,0,1
3,0.6,0.95,0.03,0,0,0
2,0.9,0.39,0.17,0,1,0
2,0.88,0.7,0,0,0,0
2,0.75,0.92,0.09,0,0,0
3,0.68,0.99,0.14,0,0,0
3,0.35,0.95,0.01,1,0,0
2,0.77,0.76,0.14,0,0,0
3,0.58,0.82,0.04,0,0,0
3,0.43,0.86,0.91,1,0,1
2,0.41,0.27,0,1,1,0
3,0.73,0.84,0.02,0,0,0
3,0.71,0.81,0.07,0,0,0
1,0.99,0.99,0.32,0,0,0
2,0.99,0.18,0.18,0,1,0
3,0.7,0.9,0.58,0,0,1
1,0.99,0.93,0.08,0,0,0
1,0.99,0.98,0.19,0,0,0
3,0.57,0.99,0.01,0,0,0
1,0.99,0.99,0.54,0,0,1
3,0.71,0.88,0.01,0,0,0
1,0.87,1,0.12,0,0,0
1,0.99,0.99,0.01,0,0,0
2,0.99,0.21,0.06,0,1,0
3,0.72,0.83,0.03,0,0,0
2,0.92,0.98,0,0,0,0
3,0.42,0.87,0.03,1,0,0
1,1,0.99,0.01,0,0,0
2,0.93,0.34,0.11,0,1,0
1,0.99,0.99,0.08,0,0,0
1,0.97,0.79,0.39,0,0,0
