,user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1850,6,0.85,0.77,0.01,1
1851,6,0.85,0.77,0.01,1
1852,6,0.49,0.7,0.01,1
1853,6,0.49,0.7,0.01,1
1854,6,0.49,0.7,0.01,1
1855,6,0.54,0.82,0.01,1
1856,6,0.54,0.82,0.01,1
1857,6,0.54,0.82,0.01,1
1858,6,0.52,0.67,0.01,1
1859,6,0.52,0.67,0.01,1
1860,6,0.52,0.67,0.01,1
1861,6,0.99,0.99,0.01,2
1862,6,0.99,0.99,0.01,2
1863,6,0.99,0.99,0.01,2
1864,6,0.99,0.99,0.01,2
1865,6,0.99,0.99,0.01,2
1866,6,0.99,0.99,0.01,2
1867,6,0.99,0.99,0.01,2
1868,6,0.99,0.99,0.01,2
1869,6,0.99,0.99,0.01,2
1870,6,0.99,0.99,0.01,2
1871,6,0.99,0.99,0.01,2
1872,6,0.91,0.45,0.01,2
1873,6,0.91,0.45,0.01,2
1874,6,0.91,0.45,0.01,2
1875,6,0.91,0.45,0.01,2
1876,6,0.91,0.45,0.01,2
1877,6,0.91,0.45,0.01,2
1878,6,0.34,0.27,0.01,2
1879,6,0.34,0.27,0.01,2
1880,6,0.34,0.27,0.01,2
1881,6,0.34,0.27,0.01,2
1882,6,0.34,0.27,0.01,2
1883,6,0.34,0.27,0.01,2
1884,6,0.34,0.02,0.69,2
1885,6,0.34,0.02,0.69,2
1886,6,0.34,0.02,0.69,2
1887,6,0.44,0.12,0.7,2
1888,6,0.44,0.12,0.7,2
1889,6,0.44,0.12,0.7,2
1890,6,0.41,0.25,0.61,2
1891,6,0.41,0.25,0.61,2
1892,6,0.41,0.25,0.61,2
1893,6,0.41,0.25,0.61,2
1894,6,0.39,0.19,0.74,2
1895,6,0.39,0.19,0.74,2
1896,6,0.39,0.19,0.74,2
1897,6,0.39,0.19,0.74,2
1898,6,0.39,0.19,0.74,2
1899,6,0.39,0.19,0.74,2
1900,6,0.39,0.19,0.74,2
1901,6,0.35,0.19,0.77,2
1902,6,0.35,0.19,0.77,2
1903,6,0.35,0.19,0.77,2
1904,6,0.35,0.19,0.77,2
1905,6,0.14,0.13,0.54,2
1906,6,0.14,0.13,0.54,2
1907,6,0.14,0.13,0.54,2
1908,6,0.14,0.13,0.54,2
1909,6,0.14,0.13,0.54,2
1910,6,0.13,0.06,0.17,2
1911,6,0.13,0.06,0.17,2
1912,6,0.13,0.06,0.17,2
1913,6,0.2,0.03,0.26,2
1914,6,0.2,0.03,0.26,2
1915,6,0.2,0.03,0.26,2
1916,6,0.17,0.16,0.2,2
1917,6,0.17,0.16,0.2,2
1918,6,0.17,0.16,0.2,2
1919,6,0.22,0.26,0.22,2
1920,6,0.22,0.26,0.22,2
1921,6,0.99,0.22,0.0,0
1922,6,0.99,0.22,0.0,0
1923,6,0.99,0.22,0.0,0
1924,6,0.99,0.22,0.0,0
1925,6,0.99,0.22,0.0,0
1926,6,0.99,0.99,0.05,0
1927,6,0.99,0.99,0.05,0
1928,6,0.99,0.99,0.05,0
1929,6,0.99,0.93,0.02,0
1930,6,0.99,0.93,0.02,0
1931,6,0.99,0.93,0.02,0
1932,6,1.0,0.99,0.02,0
1933,6,1.0,0.99,0.02,0
1934,6,1.0,0.99,0.02,0
1935,6,0.99,0.93,0.01,0
1936,6,0.99,0.93,0.01,0
1937,6,0.99,0.93,0.01,0
1938,6,0.02,0.02,0.05,0
1939,6,0.02,0.02,0.05,0
1940,6,0.02,0.02,0.05,0
1941,6,0.02,0.02,0.05,0
1942,6,0.02,0.02,0.05,0
1943,6,0.02,0.02,0.05,0
1944,6,0.02,0.02,0.05,0
1945,6,0.02,0.02,0.03,0
1946,6,0.02,0.02,0.03,0
1947,6,0.02,0.02,0.03,0
1948,6,0.03,0.02,0.02,0
1949,6,0.03,0.02,0.02,0
1950,6,0.03,0.02,0.02,0
1951,6,0.02,0.02,0.06,0
1952,6,0.02,0.02,0.06,0
1953,6,0.02,0.02,0.06,0
1954,6,0.02,0.03,0.06,0
1955,6,0.02,0.03,0.06,0
1956,6,0.02,0.03,0.06,0
1957,6,0.02,0.02,0.05,0
1958,6,0.02,0.02,0.05,0
1959,6,0.02,0.02,0.05,0
1960,6,0.02,0.02,0.03,0
1961,6,0.02,0.02,0.03,0
1962,6,0.02,0.02,0.03,0
1963,6,0.02,0.02,0.01,0
1964,6,0.02,0.02,0.01,0
1965,6,0.02,0.02,0.01,0
1966,6,0.44,0.99,0.06,0
1967,6,0.44,0.99,0.06,0
1968,6,0.44,0.99,0.06,0
1969,6,0.7,0.99,0.06,0
1970,6,0.7,0.99,0.06,0
1971,6,0.7,0.99,0.06,0
1972,6,0.58,0.99,0.01,0
1973,6,0.58,0.99,0.01,0
1974,6,0.58,0.99,0.01,0
1975,6,0.92,0.99,0.04,0
1976,6,0.92,0.99,0.04,0
1977,6,0.92,0.99,0.04,0
1978,6,0.23,0.86,0.04,0
1979,6,0.23,0.86,0.04,0
1980,6,0.23,0.86,0.04,0
1981,6,0.34,0.63,0.0,2
1982,6,0.34,0.63,0.0,2
1983,6,0.6,0.42,0.0,2
1984,6,0.6,0.42,0.0,2
1985,6,0.6,0.42,0.0,2
1986,6,0.6,0.42,0.0,2
1987,6,0.92,0.99,0.0,2
1988,6,0.92,0.99,0.0,2
1989,6,0.92,0.99,0.0,2
1990,6,0.92,0.99,0.0,2
1991,6,0.99,0.99,0.0,2
1992,6,0.99,0.99,0.0,2
1993,6,0.99,0.99,0.0,2
1994,6,0.99,0.99,0.0,2
1995,6,0.44,0.47,0.0,2
1996,6,0.44,0.47,0.0,2
1997,6,0.44,0.47,0.0,2
1998,6,0.38,0.35,0.0,2
1999,6,0.38,0.35,0.0,2
2000,6,0.38,0.35,0.0,2
2001,6,0.38,0.35,0.0,2
2002,6,0.43,0.26,0.0,2
2003,6,0.43,0.26,0.0,2
2004,6,0.43,0.26,0.0,2
2005,6,0.43,0.26,0.0,2
2006,6,0.23,0.02,0.13,2
2007,6,0.23,0.02,0.13,2
2008,6,0.23,0.02,0.13,2
2009,6,0.33,0.02,0.12,2
2010,6,0.33,0.02,0.12,2
2011,6,0.33,0.02,0.12,2
2012,6,0.23,0.06,0.2,2
2013,6,0.23,0.06,0.2,2
2014,6,0.23,0.06,0.2,2
2015,6,0.5,0.02,0.13,2
2016,6,0.5,0.02,0.13,2
2017,6,0.35,0.25,0.23,2
2018,6,0.35,0.25,0.23,2
2019,6,0.35,0.25,0.23,2
2020,6,0.35,0.25,0.23,2
2021,6,0.55,0.03,0.41,2
2022,6,0.55,0.03,0.41,2
2023,6,0.55,0.03,0.41,2
2024,6,0.55,0.03,0.41,2
2025,6,0.82,0.23,0.25,2
2026,6,0.82,0.23,0.25,2
2027,6,0.82,0.23,0.25,2
2028,6,0.49,0.33,0.42,2
2029,6,0.49,0.33,0.42,2
2030,6,0.49,0.33,0.42,2
2031,6,0.46,0.16,0.53,2
2032,6,0.46,0.16,0.53,2
2033,6,0.46,0.16,0.53,2
2034,6,0.48,0.37,0.54,2
2035,6,0.48,0.37,0.54,2
2036,6,0.48,0.37,0.54,2
2037,6,0.46,0.34,0.46,2
2038,6,0.46,0.34,0.46,2
2039,6,0.46,0.34,0.46,2
2040,6,0.43,0.28,0.43,2
2041,6,0.41,0.99,0.0,0
2042,6,0.41,0.99,0.0,0
2043,6,0.9,0.99,0.0,0
2044,6,0.9,0.99,0.0,0
2045,6,0.9,0.99,0.0,0
2046,6,0.9,0.99,0.0,0
2047,6,0.9,0.99,0.0,0
2048,6,0.39,0.87,0.01,0
2049,6,0.39,0.87,0.01,0
2050,6,0.39,0.87,0.01,0
2051,6,0.39,0.87,0.01,0
2052,6,0.39,0.87,0.01,0
2053,6,0.39,0.87,0.01,0
2054,6,0.44,0.94,0.01,0
2055,6,0.44,0.94,0.01,0
2056,6,0.44,0.94,0.01,0
2057,6,0.03,0.03,0.01,0
2058,6,0.03,0.03,0.01,0
2059,6,0.03,0.03,0.01,0
2060,6,0.03,0.17,0.01,0
2061,6,0.03,0.17,0.01,0
2062,6,0.03,0.17,0.01,0
2063,6,0.03,0.14,0.01,0
2064,6,0.03,0.14,0.01,0
2065,6,0.03,0.14,0.01,0
2066,6,0.03,0.38,0.01,0
2067,6,0.03,0.38,0.01,0
2068,6,0.03,0.38,0.01,0
2069,6,0.3,0.96,0.03,0
2070,6,0.3,0.96,0.03,0
2071,6,0.3,0.96,0.03,0
2072,6,0.49,0.95,0.08,0
2073,6,0.49,0.95,0.08,0
2074,6,0.49,0.95,0.08,0
2075,6,0.37,0.85,0.01,0
2076,6,0.37,0.85,0.01,0
2077,6,0.37,0.85,0.01,0
2078,6,0.03,0.41,0.01,0
2079,6,0.03,0.41,0.01,0
2080,6,0.03,0.41,0.01,0
2081,6,0.33,0.88,0.08,0
2082,6,0.33,0.88,0.08,0
2083,6,0.33,0.88,0.08,0
2084,6,0.2,0.87,0.07,0
2085,6,0.2,0.87,0.07,0
2086,6,0.2,0.87,0.07,0
2087,6,0.03,0.35,0.01,0
2088,6,0.03,0.35,0.01,0
2089,6,0.03,0.35,0.01,0
2090,6,0.39,0.63,0.01,0
2091,6,0.39,0.63,0.01,0
2092,6,0.39,0.63,0.01,0
2093,6,0.02,0.03,0.01,0
2094,6,0.02,0.03,0.01,0
2095,6,0.02,0.03,0.01,0
2096,6,0.02,0.02,0.0,0
2097,6,0.02,0.02,0.0,0
2098,6,0.02,0.02,0.0,0
2099,6,0.02,0.03,0.01,0
2100,6,0.02,0.03,0.01,0
2101,6,0.99,0.99,0.0,1
2102,6,0.99,0.99,0.0,1
2103,6,0.98,0.99,0.0,1
2104,6,0.98,0.99,0.0,1
2105,6,0.98,0.99,0.0,1
2106,6,0.99,0.99,0.0,1
2107,6,0.99,0.99,0.0,1
2108,6,0.99,0.99,0.0,1
2109,6,0.99,0.99,0.16,1
2110,6,0.99,0.99,0.16,1
2111,6,0.99,0.99,0.16,1
2112,6,0.99,0.99,0.16,1
2113,6,0.99,0.99,0.15,1
2114,6,0.99,0.99,0.15,1
2115,6,0.99,0.99,0.15,1
2116,6,0.93,0.99,0.05,1
2117,6,0.93,0.99,0.05,1
2118,6,0.93,0.99,0.05,1
2119,6,0.88,0.99,0.07,1
2120,6,0.88,0.99,0.07,1
2121,6,0.88,0.99,0.07,1
2122,6,0.84,0.9,0.02,1
2123,6,0.84,0.9,0.02,1
2124,6,0.84,0.9,0.02,1
2125,6,0.84,0.9,0.02,1
2126,6,0.84,0.9,0.02,1
2127,6,0.84,0.9,0.02,1
2128,6,0.29,0.38,0.03,1
2129,6,0.29,0.38,0.03,1
