user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1,1,0.99,0.03,0
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,1,0.99,0.04,1
1,1,0.99,0.04,1
1,1,0.99,0.04,1
1,0.99,0.99,0.03,1
1,0.99,0.99,0.03,1
1,0.99,0.99,0.03,1
1,0.91,0.99,0.01,1
1,0.91,0.99,0.01,1
1,0.91,0.99,0.01,1
1,0.96,0.99,0.01,1
1,0.96,0.99,0.01,1
1,0.96,0.99,0.01,1
1,0.96,0.99,0.01,1
1,0.9,0.99,0.01,1
1,0.9,0.99,0.01,1
1,0.9,0.99,0.01,1
1,0.8,0.99,0.01,1
1,0.8,0.99,0.01,1
1,0.8,0.99,0.01,1
1,0.91,0.99,0.02,1
1,0.91,0.99,0.02,1
1,0.91,0.99,0.02,1
1,0.99,0.99,0.05,1
1,0.99,0.99,0.05,1
1,0.99,0.99,0.05,1
1,0.99,0.99,0.05,1
1,0.92,0.99,0.04,1
1,0.92,0.99,0.04,1
1,0.92,0.99,0.04,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.01,1
1,0.86,0.99,0.01,1
1,0.86,0.99,0.01,1
1,0.86,0.99,0.01,1
1,0.81,0.99,0.03,1
1,0.81,0.99,0.03,1
1,0.81,0.99,0.03,1
1,0.92,0.99,0.02,1
1,0.92,0.99,0.02,1
1,0.92,0.99,0.02,1
1,0.72,0.88,0.03,1
1,0.72,0.88,0.03,1
1,0.72,0.88,0.03,1
1,0.83,0.99,0.01,1
1,0.83,0.99,0.01,1
1,0.83,0.99,0.01,1
1,0.95,0.71,0.01,1
1,0.95,0.71,0.01,1
1,0.95,0.71,0.01,1
1,0.96,0.94,0.01,1
1,0.96,0.94,0.01,1
1,0.96,0.94,0.01,1
1,0.99,0.84,0,2
1,0.99,0.84,0,2
1,0.99,0.84,0,2
1,0.99,0.84,0,2
1,0.99,0.84,0,2
1,0.99,0.84,0,2
1,0.99,0.99,0.06,2
1,0.99,0.99,0.06,2
1,0.99,0.99,0.06,2
1,0.99,0.99,0.06,2
1,0.99,0.99,0.06,2
1,0.99,0.99,0.06,2
1,0.37,0.29,0.09,2
1,0.37,0.29,0.09,2
1,0.37,0.29,0.09,2
1,0.37,0.29,0.09,2
1,0.99,0.99,0.05,2
1,0.99,0.99,0.05,2
1,0.99,0.99,0.05,2
1,0.99,0.99,0.05,2
1,0.99,0.99,0.05,2
