user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
8,0.39,0.52,0.07,1
8,0.39,0.52,0.07,1
8,0.39,0.52,0.07,1
8,0.41,0.56,0.03,1
8,0.41,0.56,0.03,1
8,0.41,0.56,0.03,1
8,0.42,0.43,0.07,1
8,0.42,0.43,0.07,1
8,0.42,0.43,0.07,1
8,0.28,0.54,0.05,1
8,0.28,0.54,0.05,1
8,0.28,0.54,0.05,1
8,0.69,0.47,0.03,1
8,0.69,0.47,0.03,1
8,0.37,0.11,0.97,2
8,0.37,0.11,0.97,2
8,0.39,0.18,0.97,2
8,0.39,0.18,0.97,2
8,0.39,0.18,0.97,2
8,0.39,0.18,0.97,2
8,0.4,0.15,0.97,2
8,0.4,0.15,0.97,2
8,0.4,0.15,0.97,2
8,0.4,0.15,0.97,2
8,0.48,0.08,0.96,2
8,0.48,0.08,0.96,2
8,0.48,0.08,0.96,2
8,0.48,0.08,0.96,2
8,0.35,0.26,0.97,2
8,0.35,0.26,0.97,2
8,0.35,0.26,0.97,2
8,0.19,0.11,0.97,2
8,0.19,0.11,0.97,2
8,0.19,0.11,0.97,2
8,0.41,0.09,0.97,2
8,0.41,0.09,0.97,2
8,0.41,0.09,0.97,2
8,0.41,0.09,0.97,2
8,0.41,0.09,0.97,2
8,0.49,0.23,0.97,2
8,0.49,0.23,0.97,2
8,0.49,0.23,0.97,2
8,0.49,0.23,0.97,2
8,0.26,0.19,0.97,2
8,0.26,0.19,0.97,2
8,0.26,0.19,0.97,2
8,0.26,0.19,0.97,2
8,0.26,0.19,0.97,2
8,0.36,0.08,0.98,2
8,0.36,0.08,0.98,2
8,0.36,0.08,0.98,2
8,0.36,0.08,0.98,2
8,0.37,0.03,0.97,2
8,0.37,0.03,0.97,2
8,0.37,0.03,0.97,2
8,0.37,0.03,0.97,2
8,0.37,0.03,0.97,2
8,0.44,0.16,0.98,2
8,0.44,0.16,0.98,2
8,0.44,0.16,0.98,2
8,0.44,0.16,0.98,2
8,0.37,0.12,0.98,2
8,0.37,0.12,0.98,2
8,0.37,0.12,0.98,2
8,0.37,0.12,0.98,2
8,0.37,0.12,0.98,2
8,0.39,0.13,0.97,2
8,0.39,0.13,0.97,2
8,0.39,0.13,0.97,2
8,0.31,0.15,0.97,2
8,0.31,0.15,0.97,2
8,0.31,0.15,0.97,2
8,0.37,0.17,0.96,2
8,0.37,0.17,0.96,2
8,0.62,0.95,0.01,0
8,0.62,0.95,0.01,0
8,0.62,0.95,0.01,0
8,0.68,0.9,0.03,0
8,0.68,0.9,0.03,0
8,0.68,0.9,0.03,0
8,0.21,0.23,0.01,0
8,0.21,0.23,0.01,0
8,0.21,0.23,0.01,0
8,0.39,0.03,0.01,0
8,0.39,0.03,0.01,0
8,0.39,0.03,0.01,0
8,0.26,0.26,0.01,0
8,0.26,0.26,0.01,0
8,0.26,0.26,0.01,0
8,0.5,0.47,0.05,0
8,0.5,0.47,0.05,0
8,0.5,0.47,0.05,0
8,0.61,0.46,0.03,0
8,0.61,0.46,0.03,0
8,0.61,0.46,0.03,0
8,0.27,0.31,0.02,0
8,0.27,0.31,0.02,0
8,0.27,0.31,0.02,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.4,0.46,0.01,0
8,0.4,0.46,0.01,0
8,0.4,0.46,0.01,0
8,0.33,0.41,0.01,0
8,0.33,0.41,0.01,0
8,0.33,0.41,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.47,0.02,0
8,0.53,0.47,0.02,0
8,0.53,0.47,0.02,0
8,0.28,0.45,0.01,0
8,0.28,0.45,0.01,0
8,0.28,0.45,0.01,0
8,0.37,0.35,0.02,0
8,0.37,0.35,0.02,0
8,0.37,0.35,0.02,0
8,0.56,0.35,0.03,0
8,0.56,0.35,0.03,0
8,0.56,0.35,0.03,0
8,0.44,0.53,0.01,0
8,0.44,0.53,0.01,0
8,0.44,0.53,0.01,0
8,0.15,0.5,0.03,0
8,0.15,0.5,0.03,0
8,0.15,0.5,0.03,0
8,0.29,0.39,0.01,0
8,0.32,0.4,0.74,2
8,0.32,0.4,0.74,2
8,0.32,0.4,0.74,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.44,0.46,0.57,2
8,0.44,0.46,0.57,2
8,0.44,0.46,0.57,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.63,0.77,0.48,2
8,0.63,0.77,0.48,2
8,0.63,0.77,0.48,2
8,0.56,0.8,0.4,2
8,0.56,0.8,0.4,2
8,0.56,0.8,0.4,2
8,0.55,0.66,0.55,2
8,0.55,0.66,0.55,2
8,0.55,0.66,0.55,2
8,0.53,0.61,0.55,2
8,0.53,0.61,0.55,2
8,0.53,0.61,0.55,2
8,0.64,0.76,0.42,2
8,0.64,0.76,0.42,2
8,0.64,0.76,0.42,2
8,0.59,0.65,0.73,2
8,0.59,0.65,0.73,2
8,0.59,0.65,0.73,2
8,0.62,0.65,0.8,2
8,0.62,0.65,0.8,2
8,0.62,0.65,0.8,2
8,0.65,0.62,0.67,2
8,0.65,0.62,0.67,2
8,0.65,0.62,0.67,2
8,0.52,0.54,0.58,2
8,0.52,0.54,0.58,2
8,0.52,0.54,0.58,2
8,0.68,0.64,0.64,2
8,0.68,0.64,0.64,2
8,0.68,0.64,0.64,2
8,0.59,0.96,0.78,2
8,0.59,0.96,0.78,2
8,0.59,0.96,0.78,2
8,0.57,0.6,0.52,2
8,0.57,0.6,0.52,2
8,0.57,0.6,0.52,2
8,0.67,0.61,0.55,2
8,0.67,0.61,0.55,2
8,0.67,0.61,0.55,2
8,0.69,0.75,0.59,2
8,0.69,0.75,0.59,2
8,0.92,0.81,0.04,1
8,0.92,0.81,0.04,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.46,0.35,0.01,1
8,0.46,0.35,0.01,1
8,0.46,0.35,0.01,1
8,0.97,0.38,0.01,1
8,0.97,0.38,0.01,1
8,0.97,0.38,0.01,1
8,0.51,0.4,0.01,1
8,0.51,0.4,0.01,1
8,0.51,0.4,0.01,1
8,0.4,0.56,0.01,1
8,0.4,0.56,0.01,1
8,0.4,0.56,0.01,1
8,0.65,0.57,0,1
8,0.65,0.57,0,1
8,0.65,0.57,0,1
8,0.6,0.8,0.01,1
8,0.6,0.8,0.01,1
8,0.6,0.8,0.01,1
8,0.9,0.93,0.01,1
8,0.9,0.93,0.01,1
8,0.9,0.93,0.01,1
8,0.96,0.86,0.01,1
8,0.96,0.86,0.01,1
8,0.96,0.86,0.01,1
8,0.88,0.78,0.01,1
8,0.88,0.78,0.01,1
8,0.88,0.78,0.01,1
8,0.9,0.88,0.01,1
8,0.9,0.88,0.01,1
8,0.9,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.99,0.91,0.01,1
8,0.99,0.91,0.01,1
8,0.99,0.91,0.01,1
8,0.89,0.94,0.01,1
8,0.89,0.94,0.01,1
8,0.89,0.94,0.01,1
8,0.99,0.85,0.01,1
8,0.99,0.85,0.01,1
8,0.99,0.85,0.01,1
8,0.86,0.99,0.01,1
8,0.86,0.99,0.01,1
8,0.86,0.99,0.01,1
8,0.85,0.99,0.01,1
8,0.85,0.99,0.01,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.98,0.01,1
9,0.99,0.98,0.01,1
9,0.99,0.98,0.01,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.24,1
9,0.99,0.99,0.24,1
